timestamp,board_id,ch4_pct_lel,temperature_c,error_code,inir_a0_voltage,inir_ch4_analog_pctvol,inir_ch4_digital_pctvol,inir_temp_c,battery_voltage,rssi,snr
2026-08-31T09:17:16,1,0.00,37.70,0,1.258,0.64,0.0000,0.0,4.18,-107,9.50
2026-08-31T09:17:19,1,0.00,37.70,0,1.259,0.70,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:17:22,1,0.00,37.70,0,1.254,0.31,0.0000,0.0,4.18,-107,9.25
2026-08-31T09:17:25,1,0.00,37.70,0,1.258,0.64,0.0000,0.0,4.17,-107,9.00
2026-08-31T09:17:27,1,0.00,37.70,0,1.255,0.38,0.0000,0.0,4.18,-107,9.25
2026-08-31T09:17:30,1,0.00,37.70,0,1.258,0.64,0.0000,0.0,4.18,-107,9.25
2026-08-31T09:17:33,1,0.00,37.70,0,1.256,0.51,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:17:35,1,0.00,37.70,0,1.256,0.51,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:17:38,1,0.00,37.80,0,1.255,0.38,0.0000,0.0,4.18,-107,9.25
2026-08-31T09:17:41,1,0.00,37.80,0,1.254,0.31,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:17:43,1,0.00,37.80,0,1.255,0.38,0.0000,0.0,4.17,-107,9.25
2026-08-31T09:17:46,1,0.00,37.80,0,1.258,0.64,0.0000,0.0,4.17,-107,9.50
2026-08-31T09:17:49,1,0.00,37.80,0,1.256,0.51,0.0000,0.0,4.17,-107,8.75
2026-08-31T09:17:52,1,0.00,37.80,0,1.256,0.51,0.0000,0.0,4.17,-107,9.50
2026-08-31T09:17:54,1,0.00,37.80,0,1.256,0.51,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:17:57,1,0.00,37.80,0,1.256,0.51,0.0000,0.0,4.17,-107,8.75
2026-08-31T09:18:00,1,0.00,37.80,0,1.256,0.51,0.0000,0.0,4.17,-107,9.25
2026-08-31T09:18:02,1,0.00,37.90,0,1.255,0.38,0.0000,0.0,4.18,-107,8.75
2026-08-31T09:18:05,1,0.00,37.90,0,1.255,0.38,0.0000,0.0,4.18,-107,9.00
2026-08-31T09:18:08,1,0.00,37.90,0,1.256,0.51,0.0000,0.0,4.18,-107,9.50
