timestamp,board_id,inircd100_voltage,inircd100_pctvol,inircd100_digital_pctvol,inircd100_temp_c,inirme100_voltage,inirme100_pctvol,battery_voltage,rssi,snr
2026-08-31T14:31:23,2,1.258,0.64,0.0040,27.9,1.265,1.22,4.01,-123,-3.25
2026-08-31T14:31:24,2,1.274,1.93,0.0050,27.9,1.267,1.35,4.00,-123,-4.75
2026-08-31T14:31:25,2,1.271,1.67,0.0050,27.9,1.276,2.05,3.98,-114,6.75
2026-08-31T14:31:26,2,1.257,0.57,0.0050,27.9,1.264,1.09,4.01,-121,-1.00
2026-08-31T14:31:28,2,1.273,1.86,0.0050,27.9,1.276,2.05,3.98,-114,7.00
2026-08-31T14:31:29,2,1.260,0.83,0.0050,27.9,1.263,1.02,4.01,-117,4.25
2026-08-31T14:31:30,2,1.274,1.93,0.0040,27.9,1.280,2.38,3.98,-118,3.25
2026-08-31T14:31:32,2,1.261,0.89,0.0050,27.9,1.272,1.80,4.00,-121,-1.25
2026-08-31T14:31:34,2,1.275,1.99,0.0050,27.9,1.279,2.31,3.98,-116,5.75
2026-08-31T14:31:35,2,1.262,0.96,0.0050,27.9,1.278,2.25,4.00,-115,6.00
2026-08-31T14:31:36,2,1.256,0.51,0.0050,27.9,1.264,1.09,4.01,-114,7.00
2026-08-31T14:31:37,2,1.274,1.93,0.0050,27.9,1.276,2.12,3.98,-114,6.50
2026-08-31T14:31:39,2,1.255,0.38,0.0050,27.9,1.264,1.15,4.01,-113,7.00
2026-08-31T14:31:40,2,1.277,2.18,0.0050,27.9,1.277,2.18,3.98,-115,6.75
2026-08-31T14:31:41,2,1.255,0.38,0.0050,27.9,1.265,1.22,4.01,-114,6.50
2026-08-31T14:31:42,2,1.277,2.18,0.0050,27.9,1.266,1.28,3.98,-115,6.50
2026-08-31T14:31:44,2,1.272,1.73,0.0050,27.9,1.275,1.99,3.98,-113,7.00
2026-08-31T14:31:45,2,1.255,0.38,0.0050,27.9,1.264,1.15,4.01,-114,6.50
2026-08-31T14:31:46,2,1.276,2.12,0.0050,27.9,1.264,1.15,3.99,-115,6.75
2026-08-31T14:31:47,2,1.272,1.80,0.0040,27.9,1.277,2.18,3.98,-120,1.00
2026-08-31T14:31:48,2,1.256,0.51,0.0040,27.9,1.265,1.22,4.01,-119,2.75
2026-08-31T14:31:49,2,1.274,1.93,0.0040,27.9,1.267,1.35,4.00,-122,-1.25
2026-08-31T14:31:51,2,1.260,0.76,0.0040,27.9,1.264,1.15,4.01,-115,6.25
2026-08-31T14:31:52,2,1.272,1.73,0.0040,27.9,1.268,1.41,3.99,-117,4.50
2026-08-31T14:31:53,2,1.260,0.76,0.0040,27.9,1.269,1.54,4.00,-119,2.75
2026-08-31T14:31:54,2,1.256,0.51,0.0040,27.9,1.264,1.09,4.01,-121,0.25
2026-08-31T14:31:55,2,1.273,1.86,0.0040,27.9,1.281,2.51,3.97,-120,1.25
2026-08-31T14:31:57,2,1.260,0.76,0.0040,27.9,1.275,1.99,3.99,-123,-3.75
2026-08-31T14:31:58,2,1.257,0.57,0.0040,27.9,1.262,0.96,4.01,-123,-2.50
2026-08-31T14:31:59,2,1.276,2.05,0.0040,27.9,1.278,2.25,3.98,-123,-3.75
2026-08-31T14:32:00,2,1.260,0.76,0.0040,27.9,1.276,2.05,4.00,-123,-10.00
2026-08-31T14:32:01,2,1.256,0.44,0.0040,27.9,1.265,1.22,4.01,-121,-1.00
2026-08-31T14:32:02,2,1.271,1.67,0.0040,27.9,1.279,2.31,3.98,-122,-3.25
