timestamp,board_id,inircd100_voltage,inircd100_pctvol,inircd100_digital_pctvol,inircd100_temp_c,inirme100_voltage,inirme100_pctvol,battery_voltage,rssi,snr,sample
2026-09-15T09:13:05,2,1.253,0.25,0.1400,26.9,1.254,0.31,3.63,-52,9.50,
2026-09-15T09:13:06,2,1.251,0.06,0.1170,26.9,1.254,0.31,3.66,-53,9.25,
2026-09-15T09:13:07,2,1.271,1.67,0.0970,26.9,1.260,0.83,3.61,-54,10.00,
2026-09-15T09:13:08,2,1.247,-0.20,0.0790,26.9,1.256,0.51,3.66,-54,9.75,
2026-09-15T09:13:09,2,1.277,2.18,0.0650,26.9,1.256,0.44,3.62,-54,9.50,
2026-09-15T09:13:10,2,1.272,1.73,0.0530,26.9,1.258,0.64,3.62,-54,9.50,
2026-09-15T09:13:11,2,1.248,-0.14,0.0420,26.9,1.252,0.18,3.66,-54,9.50,
2026-09-15T09:13:12,2,1.275,1.99,0.0330,26.9,1.256,0.51,3.63,-54,9.75,
2026-09-15T09:13:14,2,1.272,1.80,0.0250,26.9,1.255,0.38,3.61,-54,9.50,
2026-09-15T09:13:15,2,1.248,-0.14,0.0190,26.9,1.252,0.18,3.66,-54,10.00,
2026-09-15T09:13:16,2,1.273,1.86,0.0140,26.9,1.254,0.31,3.63,-54,9.25,
2026-09-15T09:13:17,2,1.272,1.73,0.0060,26.9,1.257,0.57,3.61,-54,9.50,
2026-09-15T09:13:18,2,1.247,-0.20,0.0040,26.9,1.253,0.25,3.66,-54,9.75,
2026-09-15T09:13:19,2,1.273,1.86,0.0030,26.9,1.256,0.51,3.61,-54,9.75,
2026-09-15T09:13:20,2,1.249,-0.07,0.0020,26.9,1.255,0.38,3.63,-54,9.50,
2026-09-15T09:13:21,2,1.247,-0.27,0.0010,26.9,1.255,0.38,3.66,-54,9.75,
2026-09-15T09:13:22,2,1.274,1.93,0.0000,26.9,1.256,0.51,3.61,-54,9.25,
2026-09-15T09:13:23,2,1.249,-0.07,0.0000,26.9,1.256,0.51,3.64,-54,9.50,
2026-09-15T09:13:24,2,1.250,-0.01,0.0000,26.9,1.256,0.44,3.66,-54,9.50,
2026-09-15T09:13:26,2,1.271,1.67,0.0000,26.9,1.258,0.64,3.61,-54,9.50,
2026-09-15T09:13:27,2,1.249,-0.07,0.0000,26.9,1.253,0.25,3.63,-53,9.50,
